experiment,samples,blockedRate,confidenceScore,retrievalMs,generationMs,totalMs,accuracy,f1_score,bleu,gleu,rouge1,rouge_l,bert_score,sbert_similarity,distinct,llm_judge_normalised,faithfulness,answer_relevance,context_relevance,scope_avg
Experiment 1,2,0.0,0.335087314248085,15929.5,30545.5,46475,0.528604118993135,0.1651074151074151,0.0,0.03233464355960165,0.1651074151074151,0.11815661815661817,0.5533267009762222,0.6736214756965637,1.0,0.875,0.43735,0.72705,0.41975,0.78
Experiment 2,2,0.0,0.31847503781318665,23,28763.5,28786.5,0.5903890160183066,0.17059066501445683,0.0,0.03442785832659419,0.17059066501445683,0.10012391573729863,0.6435306071978639,0.7081103324890137,1.0,0.875,0.3725,0.7659499999999999,0.4577,0.42
Experiment 3,2,0.0,0.4715360999107361,40,75089.5,75129.5,0.5102974828375286,0.056253679300819634,0.0,0.009164412066119502,0.056253679300819634,0.03721188244350858,0.4754977491770669,0.6424684524536133,1.0,1.0,0.5520499999999999,0.6839,0.53965,0.66
Experiment 4,2,0.0,0.0,0,8122,8122,0.602974828375286,0.30741626794258375,0.0,0.0675871132260715,0.30741626794258375,0.23564593301435408,0.6264852408935953,0.7124936282634735,1.0,1.0,0.0,0.7817000000000001,0.0,0.96
